Running with 32 MPI processes
MPI wall clock resolution: 1.0000e-06 seconds

test	i	j	m	time
h2h	2	3	8192	8.8201e-06
ppnb	2	3	16384	1.5999e-05
ppb	2	3	16384	1.6301e-05
h2h	2	3	16384	1.0168e-05
ppnb	2	3	32768	2.0629e-05
ppb	2	3	32768	2.0954e-05
h2h	2	3	32768	1.3409e-05
ppnb	2	3	65536	3.1827e-05
ppb	2	3	65536	3.2190e-05
h2h	2	3	65536	1.8978e-05
ppnb	2	3	131072	5.1788e-05
ppb	2	3	131072	5.2145e-05
h2h	2	3	131072	3.0486e-05
ppnb	2	3	262144	9.2347e-05
ppb	2	3	262144	9.2608e-05
h2h	2	3	262144	5.3214e-05
Application 36741420 resources: utime ~352s, stime ~32s, Rss ~21584, inblocks ~274543, outblocks ~569168
