
Inactive Modules:
  1) TBB

The following have been reloaded with a version change:
  1) Boost/1.47.0 => Boost/1.58.0     4) OpenMPI/1.4.3 => OpenMPI/1.10.0
  2) CMake/2.8.5 => CMake/3.1.0       5) R/2.15.1 => R/3.2.3
  3) GNU/4.4.5 => GNU/4.9

Running with 4 MPI processes
MPI wall clock resolution: 1.0000e-06 seconds

test	i	j	m	time
ppnb	2	3	2048	9.9280e-06
ppb	2	3	2048	1.0351e-05
h2h	2	3	2048	5.3442e-06
ppnb	2	3	4096	1.2064e-05
ppb	2	3	4096	1.2041e-05
h2h	2	3	4096	6.0372e-06
ppnb	2	3	8192	1.4589e-05
ppb	2	3	8192	1.4551e-05
h2h	2	3	8192	7.7670e-06
ppnb	2	3	16384	3.0124e-05
ppb	2	3	16384	3.0262e-05
h2h	2	3	16384	1.5843e-05
ppnb	2	3	32768	4.1891e-05
ppb	2	3	32768	4.2286e-05
h2h	2	3	32768	2.2339e-05
ppnb	2	3	65536	6.6844e-05
ppb	2	3	65536	6.6479e-05
h2h	2	3	65536	3.5902e-05
ppnb	2	3	131072	9.6183e-05
ppb	2	3	131072	9.5976e-05
h2h	2	3	131072	5.3114e-05
ppnb	2	3	262144	1.5300e-04
ppb	2	3	262144	1.5242e-04
h2h	2	3	262144	8.5329e-05
